image,class,is_valid
ISIC_0024310_0,0,False
ISIC_0024310_1,0,False
ISIC_0024310_2,0,False
ISIC_0024310_3,0,False
ISIC_0024310_4,0,False
ISIC_0024310_5,0,False
ISIC_0024310_6,0,False
ISIC_0024313_0,0,False
ISIC_0024313_1,0,False
ISIC_0024313_2,0,False
ISIC_0024313_3,0,False
ISIC_0024313_4,0,False
ISIC_0024313_5,0,False
ISIC_0024313_6,0,False
ISIC_0024315_0,0,False
ISIC_0024315_1,0,False
ISIC_0024315_2,0,False
ISIC_0024315_3,0,False
ISIC_0024315_4,0,False
ISIC_0024315_5,0,False
ISIC_0024315_6,0,False
ISIC_0024323_0,0,False
ISIC_0024323_1,0,False
ISIC_0024323_2,0,False
ISIC_0024323_3,0,False
ISIC_0024323_4,0,False
ISIC_0024323_5,0,False
ISIC_0024323_6,0,False
ISIC_0024333_0,0,False
ISIC_0024333_1,0,False
ISIC_0024333_2,0,False
ISIC_0024333_3,0,False
ISIC_0024333_4,0,False
ISIC_0024333_5,0,False
ISIC_0024333_6,0,False
ISIC_0024351_0,0,False
ISIC_0024351_1,0,False
ISIC_0024351_2,0,False
ISIC_0024351_3,0,False
ISIC_0024351_4,0,False
ISIC_0024351_5,0,False
ISIC_0024351_6,0,False
ISIC_0024367_0,0,False
ISIC_0024367_1,0,False
ISIC_0024367_2,0,False
ISIC_0024367_3,0,False
ISIC_0024367_4,0,False
ISIC_0024367_5,0,False
ISIC_0024367_6,0,False
ISIC_0024400_0,0,False
ISIC_0024400_1,0,False
ISIC_0024400_2,0,False
ISIC_0024400_3,0,False
ISIC_0024400_4,0,False
ISIC_0024400_5,0,False
ISIC_0024400_6,0,False
ISIC_0024410_0,0,False
ISIC_0024410_1,0,False
ISIC_0024410_2,0,False
ISIC_0024410_3,0,False
ISIC_0024410_4,0,False
ISIC_0024410_5,0,False
ISIC_0024410_6,0,False
ISIC_0024449_0,0,False
ISIC_0024449_1,0,False
ISIC_0024449_2,0,False
ISIC_0024449_3,0,False
ISIC_0024449_4,0,False
ISIC_0024449_5,0,False
ISIC_0024449_6,0,False
ISIC_0024459_0,0,False
ISIC_0024459_1,0,False
ISIC_0024459_2,0,False
ISIC_0024459_3,0,False
ISIC_0024459_4,0,False
ISIC_0024459_5,0,False
ISIC_0024459_6,0,False
ISIC_0024481_0,0,False
ISIC_0024481_1,0,False
ISIC_0024481_2,0,False
ISIC_0024481_3,0,False
ISIC_0024481_4,0,False
ISIC_0024481_5,0,False
ISIC_0024481_6,0,False
ISIC_0024482_0,0,False
ISIC_0024482_1,0,False
ISIC_0024482_2,0,False
ISIC_0024482_3,0,False
ISIC_0024482_4,0,False
ISIC_0024482_5,0,False
ISIC_0024482_6,0,False
ISIC_0024496_0,0,False
ISIC_0024496_1,0,False
ISIC_0024496_2,0,False
ISIC_0024496_3,0,False
ISIC_0024496_4,0,False
ISIC_0024496_5,0,False
ISIC_0024496_6,0,False
ISIC_0024516_0,0,False
ISIC_0024516_1,0,False
ISIC_0024516_2,0,False
ISIC_0024516_3,0,False
ISIC_0024516_4,0,False
ISIC_0024516_5,0,False
ISIC_0024516_6,0,False
ISIC_0024525_0,0,False
ISIC_0024525_1,0,False
ISIC_0024525_2,0,False
ISIC_0024525_3,0,False
ISIC_0024525_4,0,False
ISIC_0024525_5,0,False
ISIC_0024525_6,0,False
ISIC_0024545_0,0,False
ISIC_0024545_1,0,False
ISIC_0024545_2,0,False
ISIC_0024545_3,0,False
ISIC_0024545_4,0,False
ISIC_0024545_5,0,False
ISIC_0024545_6,0,False
ISIC_0024546_0,0,False
ISIC_0024546_1,0,False
ISIC_0024546_2,0,False
ISIC_0024546_3,0,False
ISIC_0024546_4,0,False
ISIC_0024546_5,0,False
ISIC_0024546_6,0,False
ISIC_0024552_0,0,False
ISIC_0024552_1,0,False
ISIC_0024552_2,0,False
ISIC_0024552_3,0,False
ISIC_0024552_4,0,False
ISIC_0024552_5,0,False
ISIC_0024552_6,0,False
ISIC_0024554_0,0,False
ISIC_0024554_1,0,False
ISIC_0024554_2,0,False
ISIC_0024554_3,0,False
ISIC_0024554_4,0,False
ISIC_0024554_5,0,False
ISIC_0024554_6,0,False
ISIC_0024571_0,0,False
ISIC_0024571_1,0,False
ISIC_0024571_2,0,False
ISIC_0024571_3,0,False
ISIC_0024571_4,0,False
ISIC_0024571_5,0,False
ISIC_0024571_6,0,False
ISIC_0024586_0,0,False
ISIC_0024586_1,0,False
ISIC_0024586_2,0,False
ISIC_0024586_3,0,False
ISIC_0024586_4,0,False
ISIC_0024586_5,0,False
ISIC_0024586_6,0,False
ISIC_0024624_0,0,False
ISIC_0024624_1,0,False
ISIC_0024624_2,0,False
ISIC_0024624_3,0,False
ISIC_0024624_4,0,False
ISIC_0024624_5,0,False
ISIC_0024624_6,0,False
ISIC_0024630_0,0,False
ISIC_0024630_1,0,False
ISIC_0024630_2,0,False
ISIC_0024630_3,0,False
ISIC_0024630_4,0,False
ISIC_0024630_5,0,False
ISIC_0024640_0,0,False
ISIC_0024640_1,0,False
ISIC_0024640_2,0,False
ISIC_0024640_3,0,False
ISIC_0024640_4,0,False
ISIC_0024640_5,0,False
ISIC_0024644_0,0,False
ISIC_0024644_1,0,False
ISIC_0024644_2,0,False
ISIC_0024644_3,0,False
ISIC_0024644_4,0,False
ISIC_0024644_5,0,False
ISIC_0024647_0,0,False
ISIC_0024647_1,0,False
ISIC_0024647_2,0,False
ISIC_0024647_3,0,False
ISIC_0024647_4,0,False
ISIC_0024647_5,0,False
ISIC_0024652_0,0,False
ISIC_0024652_1,0,False
ISIC_0024652_2,0,False
ISIC_0024652_3,0,False
ISIC_0024652_4,0,False
ISIC_0024652_5,0,False
ISIC_0024675_0,0,False
ISIC_0024675_1,0,False
ISIC_0024675_2,0,False
ISIC_0024675_3,0,False
ISIC_0024675_4,0,False
ISIC_0024675_5,0,False
ISIC_0024679_0,0,False
ISIC_0024679_1,0,False
ISIC_0024679_2,0,False
ISIC_0024679_3,0,False
ISIC_0024679_4,0,False
ISIC_0024679_5,0,False
ISIC_0024688_0,0,False
ISIC_0024688_1,0,False
ISIC_0024688_2,0,False
ISIC_0024688_3,0,False
ISIC_0024688_4,0,False
ISIC_0024688_5,0,False
ISIC_0024700_0,0,False
ISIC_0024700_1,0,False
ISIC_0024700_2,0,False
ISIC_0024700_3,0,False
ISIC_0024700_4,0,False
ISIC_0024700_5,0,False
ISIC_0024702_0,0,False
ISIC_0024702_1,0,False
ISIC_0024702_2,0,False
ISIC_0024702_3,0,False
ISIC_0024702_4,0,False
ISIC_0024702_5,0,False
ISIC_0024729_0,0,False
ISIC_0024729_1,0,False
ISIC_0024729_2,0,False
ISIC_0024729_3,0,False
ISIC_0024729_4,0,False
ISIC_0024729_5,0,False
ISIC_0024732_0,0,False
ISIC_0024732_1,0,False
ISIC_0024732_2,0,False
ISIC_0024732_3,0,False
ISIC_0024732_4,0,False
ISIC_0024732_5,0,False
ISIC_0024733_0,0,False
ISIC_0024733_1,0,False
ISIC_0024733_2,0,False
ISIC_0024733_3,0,False
ISIC_0024733_4,0,False
ISIC_0024733_5,0,False
ISIC_0024756_0,0,False
ISIC_0024756_1,0,False
ISIC_0024756_2,0,False
ISIC_0024756_3,0,False
ISIC_0024756_4,0,False
ISIC_0024756_5,0,False
ISIC_0024767_0,0,False
ISIC_0024767_1,0,False
ISIC_0024767_2,0,False
ISIC_0024767_3,0,False
ISIC_0024767_4,0,False
ISIC_0024767_5,0,False
ISIC_0024805_0,0,False
ISIC_0024805_1,0,False
ISIC_0024805_2,0,False
ISIC_0024805_3,0,False
ISIC_0024805_4,0,False
ISIC_0024805_5,0,False
ISIC_0024806_0,0,False
ISIC_0024806_1,0,False
ISIC_0024806_2,0,False
ISIC_0024806_3,0,False
ISIC_0024806_4,0,False
ISIC_0024806_5,0,False
ISIC_0024823_0,0,False
ISIC_0024823_1,0,False
ISIC_0024823_2,0,False
ISIC_0024823_3,0,False
ISIC_0024823_4,0,False
ISIC_0024823_5,0,False
ISIC_0024853_0,0,False
ISIC_0024853_1,0,False
ISIC_0024853_2,0,False
ISIC_0024853_3,0,False
ISIC_0024853_4,0,False
ISIC_0024853_5,0,False
ISIC_0024864_0,0,False
ISIC_0024864_1,0,False
ISIC_0024864_2,0,False
ISIC_0024864_3,0,False
ISIC_0024864_4,0,False
ISIC_0024864_5,0,False
ISIC_0024865_0,0,False
ISIC_0024865_1,0,False
ISIC_0024865_2,0,False
ISIC_0024865_3,0,False
ISIC_0024865_4,0,False
ISIC_0024865_5,0,False
ISIC_0024875_0,0,False
ISIC_0024875_1,0,False
ISIC_0024875_2,0,False
ISIC_0024875_3,0,False
ISIC_0024875_4,0,False
ISIC_0024875_5,0,False
ISIC_0024886_0,0,False
ISIC_0024886_1,0,False
ISIC_0024886_2,0,False
ISIC_0024886_3,0,False
ISIC_0024886_4,0,False
ISIC_0024886_5,0,False
ISIC_0024898_0,0,False
ISIC_0024898_1,0,False
ISIC_0024898_2,0,False
ISIC_0024898_3,0,False
ISIC_0024898_4,0,False
ISIC_0024898_5,0,False
ISIC_0024900_0,0,False
ISIC_0024900_1,0,False
ISIC_0024900_2,0,False
ISIC_0024900_3,0,False
ISIC_0024900_4,0,False
ISIC_0024900_5,0,False
ISIC_0024911_0,0,False
ISIC_0024911_1,0,False
ISIC_0024911_2,0,False
ISIC_0024911_3,0,False
ISIC_0024911_4,0,False
ISIC_0024911_5,0,False
ISIC_0024918_0,0,False
ISIC_0024918_1,0,False
ISIC_0024918_2,0,False
ISIC_0024918_3,0,False
ISIC_0024918_4,0,False
ISIC_0024918_5,0,False
ISIC_0024930_0,0,False
ISIC_0024930_1,0,False
ISIC_0024930_2,0,False
ISIC_0024930_3,0,False
ISIC_0024930_4,0,False
ISIC_0024930_5,0,False
ISIC_0024932_0,0,False
ISIC_0024932_1,0,False
ISIC_0024932_2,0,False
ISIC_0024932_3,0,False
ISIC_0024932_4,0,False
ISIC_0024932_5,0,False
ISIC_0024951_0,0,False
ISIC_0024951_1,0,False
ISIC_0024951_2,0,False
ISIC_0024951_3,0,False
ISIC_0024951_4,0,False
ISIC_0024951_5,0,False
ISIC_0024952_0,0,False
ISIC_0024952_1,0,False
ISIC_0024952_2,0,False
ISIC_0024952_3,0,False
ISIC_0024952_4,0,False
ISIC_0024952_5,0,False
ISIC_0024958_0,0,False
ISIC_0024958_1,0,False
ISIC_0024958_2,0,False
ISIC_0024958_3,0,False
ISIC_0024958_4,0,False
ISIC_0024958_5,0,False
ISIC_0024961_0,0,False
ISIC_0024961_1,0,False
ISIC_0024961_2,0,False
ISIC_0024961_3,0,False
ISIC_0024961_4,0,False
ISIC_0024961_5,0,False
ISIC_0024962_0,0,False
ISIC_0024962_1,0,False
ISIC_0024962_2,0,False
ISIC_0024962_3,0,False
ISIC_0024962_4,0,False
ISIC_0024962_5,0,False
ISIC_0024967_0,0,False
ISIC_0024967_1,0,False
ISIC_0024967_2,0,False
ISIC_0024967_3,0,False
ISIC_0024967_4,0,False
ISIC_0024967_5,0,False
ISIC_0024972_0,0,False
ISIC_0024972_1,0,False
ISIC_0024972_2,0,False
ISIC_0024972_3,0,False
ISIC_0024972_4,0,False
ISIC_0024972_5,0,False
ISIC_0024987_0,0,False
ISIC_0024987_1,0,False
ISIC_0024987_2,0,False
ISIC_0024987_3,0,False
ISIC_0024987_4,0,False
ISIC_0024987_5,0,False
ISIC_0024999_0,0,False
ISIC_0024999_1,0,False
ISIC_0024999_2,0,False
ISIC_0024999_3,0,False
ISIC_0024999_4,0,False
ISIC_0024999_5,0,False
ISIC_0025018_0,0,False
ISIC_0025018_1,0,False
ISIC_0025018_2,0,False
ISIC_0025018_3,0,False
ISIC_0025018_4,0,False
ISIC_0025018_5,0,False
ISIC_0025035_0,0,False
ISIC_0025035_1,0,False
ISIC_0025035_2,0,False
ISIC_0025035_3,0,False
ISIC_0025035_4,0,False
ISIC_0025035_5,0,False
ISIC_0025081_0,0,False
ISIC_0025081_1,0,False
ISIC_0025081_2,0,False
ISIC_0025081_3,0,False
ISIC_0025081_4,0,False
ISIC_0025081_5,0,False
ISIC_0025097_0,0,False
ISIC_0025097_1,0,False
ISIC_0025097_2,0,False
ISIC_0025097_3,0,False
ISIC_0025097_4,0,False
ISIC_0025097_5,0,False
ISIC_0025105_0,0,False
ISIC_0025105_1,0,False
ISIC_0025105_2,0,False
ISIC_0025105_3,0,False
ISIC_0025105_4,0,False
ISIC_0025105_5,0,False
ISIC_0025121_0,0,False
ISIC_0025121_1,0,False
ISIC_0025121_2,0,False
ISIC_0025121_3,0,False
ISIC_0025121_4,0,False
ISIC_0025121_5,0,False
ISIC_0025127_0,0,False
ISIC_0025127_1,0,False
ISIC_0025127_2,0,False
ISIC_0025127_3,0,False
ISIC_0025127_4,0,False
ISIC_0025127_5,0,False
ISIC_0025128_0,0,False
ISIC_0025128_1,0,False
ISIC_0025128_2,0,False
ISIC_0025128_3,0,False
ISIC_0025128_4,0,False
ISIC_0025128_5,0,False
ISIC_0025132_0,0,False
ISIC_0025132_1,0,False
ISIC_0025132_2,0,False
ISIC_0025132_3,0,False
ISIC_0025132_4,0,False
ISIC_0025132_5,0,False
ISIC_0025145_0,0,False
ISIC_0025145_1,0,False
ISIC_0025145_2,0,False
ISIC_0025145_3,0,False
ISIC_0025145_4,0,False
ISIC_0025145_5,0,False
ISIC_0025153_0,0,False
ISIC_0025153_1,0,False
ISIC_0025153_2,0,False
ISIC_0025153_3,0,False
ISIC_0025153_4,0,False
ISIC_0025153_5,0,False
ISIC_0025155_0,0,False
ISIC_0025155_1,0,False
ISIC_0025155_2,0,False
ISIC_0025155_3,0,False
